id,CZE,ENG,FIN,FRE,GER,ITA,POL,POR,RUS,SPA,SWE,SCR,NOR,DUT,LAV
C0206317,Crotalus,Crotalus,Kalkkarokäärme,Crotalus,Crotalus,Crotalo,Grzechotniki właściwe,Crotalus,ГРЕМУЧАЯ ЗМЕЯ,Crotalus,Crotalus,,Crotalus,Ratelslang,
C2350442,nosní laváž,Nasal Lavage,,Lavage nasal,Nasenspülung,Lavaggio nasale,Płukanie nosa,Lavagem Nasal,НОСА ЛАВАЖ,Lavado Nasal (Proceso),Nässköljning,,Neselavage,,
C0949584,Gymnotiformes,Gymnotiformes,Gymnotiformes,Gymnotiformes,Gymnotiformes,Gymnotiformes,Gymnotiformes,Gimnotiformes,GYMNOTIFORMES,Gymnotiformes,Gymnotiformes,,Gymnotiformes,Gymnotiformes,
C0161398,poranění nervus opticus,Optic Nerve Injuries,Näköhermon vammat,Lésions traumatiques du nerf optique,Nervus opticus-Verletzungen,Lesioni del nervo ottico,Urazy nerwu wzrokowego,Traumatismos do Nervo Óptico,ЗРИТЕЛЬНОГО НЕРВА ТРАВМЫ,Traumatismos del Nervio Óptico,Synnervsskador,,Synsnerveskader,Tweedehersenzenuwtrauma,
C0950102,Parechovirus,Parechovirus,Parechovirus,Parechovirus,Parechovirus,Parechovirus,Parechovirus,Parechovirus,PARECHOVIRUS,Parechovirus,Parechovirus,,Parechovirus,"Virus, parecho-",
C0006262,bronchiální píštěl,Bronchial Fistula,Keuhkoputken fisteli,Fistule bronchique,Bronchialfistel,Fistola bronchiale,Przetoka oskrzelowa,Fístula Brônquica,БРОНХИАЛЬНЫЙ СВИЩ,Fístula Bronquial,Bronkialfistel,BRONHALNA FISTULA,Bronkiefistel,"Fistel, bronchiële",
C0085219,HIV korový protein p24,HIV Core Protein p24,HIV:n ydinproteiini p24,Protéine de capside p24 du VIH,HIV-Kernprotein p24,Proteina p24 del core dell'HIV,Białko p24 rdzenia HIV,Proteína do Núcleo p24 do HIV,ВИЧ КОРОВЫЙ БЕЛОК P24,Proteína p24 del Núcleo del VIH,HIV-kärnprotein p24,,,,
C0028369,norgestrienon,Norgestrienone,Norgestrienoni,Norgestriènone,Norgestrienon,Norgestrienone,Norgestrienon,Norgestrienona,НОРГЕСТРИЕНОН,Norgestrienona,Norgestrienon,,,,
C0035722,RNA transferová His,"RNA, Transfer, His",His-siirtäjä-RNA,ARN de transfert de l'histidine,"RNA, Transfer-, His-",RNA transfer dell'istidina,RNA przenoszący histydynę,RNA de Transferência de Histidina,РНК ТРАНСПОРТНАЯ ГИСТИДИН-СПЕЦИФИЧНАЯ,ARN de Transferencia de Histidina,"RNA, transfer, His",,,,
C0027830,neurofibrom,Neurofibroma,Neurofibrooma,Neurofibrome,Neurofibrom,Neurofibroma,Nerwiakowłókniak,Neurofibroma,НЕЙРОФИБРОМА,Neurofibroma,Neurofibrom,Not Translated[Neurofibroma],Nevrofibrom,"Fibroom, neuro-",
C0024975,maytansin,Maytansine,Maytansiini,Maitansine,Maytansin,Maitansina,Majtanzyna,Maitansina,МАЙТАНСИН,Maitansina,Maytansin,,,,
C0008350,cholelitiáza,Cholelithiasis,Sappikivitauti,Lithiase biliaire,Cholelithiasis,Colelitiasi,Kamica żółciowa,Colelitíase,ЖЕЛЧНОКАМЕННАЯ БОЛЕЗНЬ,Colelitiasis,Kolelitiasis,KOLELITIJAZA,Kolelitiasis,Cholelithiasis,
C0038056,sputum,Sputum,Yskös,Expectoration,Sputum,Sputo,Plwocina,Escarro,МОКРОТА,Esputo,Upphostning,SPUTUM,Oppspytt,Sputum,
C0152351,,,,,,,,,,,,,,Nucleus of Field H,
C0007271,karotenoidy,Carotenoids,Karotenoidit,Caroténoïdes,Carotinoide,Carotenoidi,Karotenoidy,Carotenoides,КАРОТИНОИДЫ,Carotenoides,Karotenoider,KAROTINOIDI,Not Translated[Carotenoids],,
C0036474,kurděje,Scurvy,Askorbiinihapon puutos,Scorbut,Skorbut,Scorbuto,Gnilec,Escorbuto,ЦИНГА,Escorbuto,Skörbjugg,,Skjørbuk,Scorbuut,
C0999570,delfín skákavý,Bottle-Nosed Dolphin,Pullokuonodelfiini,Grand dauphin,Großer Tümmler,Tursiope troncato,Tursiops truncatus,Golfinho Nariz-de-Garrafa,АФАЛИНА,Delfín Mular,Flasknosdelfin,,Tumler,Tuimelaar,
C1706192,sulfatidóza,Sulfatidosis,Sulfatidoosi,Sulfatidose,Sulfatidlipidose,Solfatidosi,Sulfatydoza,Sulfatidose,СУЛЬФАТИДОЗ,Sulfatidosis,Sulfatidosis,,Sulfatidose,,
C0040162,hormon uvolňující thyreotropin,Thyrotropin-Releasing Hormone,Tyreoliberiini,Hormone de libération de la thyréostimuline,Thyreotropin-Releasing-Hormon,Ormone rilasciante la tirotropina,Tyreoliberyna,Hormônio Liberador de Tireotropina,ТИРОТРОПИН-РИЛИЗИНГ-ГОРМОН,Hormona Liberadora de Tirotropina,Tyreotropinfrisättande hormon,HORMON KOJI OSLOBAĐA TIREOTROPIN,Tyreotropinfrigjørende hormon,,
C0002245,alfa-amylasy,alpha-Amylases,Alfa-amylaasi,alpha-Amylases,Alpha-Amylase,alfa-amilasi,alfa-Amylazy,alfa-Amilases,АЛЬФА-АМИЛАЗЫ,alfa-Amilasas,Alfaamylaser,,Alfaamylaser,,
C1257990,transplantace mezenchymálních kmenových buněk,Mesenchymal Stem Cell Transplantation,Mesenkymaalisten kantasolujen siirto,Transplantation de cellules souches mésenchymateuses,Mesenchymale Stammzelltransplantation,Trapianto di cellule staminali mesenchimali,Przeszczepianie komórek macierzystych mezenchymalnych,Transplante de Células-Tronco Mesenquimais,СТВОЛОВЫХ КЛЕТОК МЕЗЕНХИМНЫХ ТРАНСПЛАНТАЦИЯ,Trasplante de Células Madre Mesenquimatosas,Mesenkymal stamcellstransplantation,"Mezenhimne matične stanice, transplantacija",Mesenkymal stamcellestransplantasjon,"Transplantatie, mesenchymale-stamcel-",
C0011350,zubní sklovina,Dental Enamel,Hammaskiille,Émail dentaire,Zahnschmelz,Smalto dentario,Szkliwo,Esmalte Dentário,ЗУБНАЯ ЭМАЛЬ,Esmalte Dental,Tandemalj,ZUBNA CAKLINA,Tannemalje,Enamel,Zobu emalja
C0330651,Pyracantha,Pyracantha,Pyracantha,Pyracantha,Pyracantha,Pyracantha,Ognik,Pyracantha,PYRACANTHA,Pyracantha,Pyracantha,,Pyracantha,Vuurdoorn,
C0079073,,,,,,,,,,,,,,c-src-gen,
C1456574,poranění předního zkříženého vazu,Anterior Cruciate Ligament Injuries,,Lésions du ligament croisé antérieur,"Vorderes Kreuzband, Verletzungen",Lesioni del legamento crociato anteriore,Urazy więzadła krzyżowego przedniego,Lesões do Ligamento Cruzado Anterior,КРЕСТООБРАЗНОЙ СВЯЗКИ ПЕРЕДНЕЙ ТРАВМЫ,Lesiones del Ligamento Cruzado Anterior,Främre korsbandsskador,,Fremre korsbåndsskade,,
C0020924,imidazoly,Imidazoles,Imidatsolit,Imidazoles,Imidazole,Imidazoli,Imidazolu pochodne,Imidazóis,ИМИДАЗОЛЫ,Imidazoles,Imidazoler,IMIDAZOLI,Not Translated[Imidazoles],,
C0041991,kyselina uridindifosfátglukuronová,Uridine Diphosphate Glucuronic Acid,Uridiinidifosfaattiglukuronihappo,Acide uridine diphosphate glucuronique,Uridindiphosphat-Glucuronsäure,Acido glucuronico di uridina difosfato,Kwas urydynodifosfoglukuronowy,Uridina Difosfato Ácido Glucurônico,УРИДИНДИФОСФАТГЛЮКУРОНОВАЯ КИСЛОТА,Uridina Difosfato Ácido Glucurónico,Uridindifosfatglukuronsyra,,,,
C0406208,opálení pleti,Suntan,,Hâle,Sonnenbräune,Abbronzatura,Opalenizna,Bronzeado,ЗАГАР,Bronceado,Solbränna,,Solbrunhet,,
C0014182,,,,,,,,,,,,,,Endomycopsis,
C0949514,,,,,,,,,,,,,,Enterobacteriën faag BF23,
C0033846,pseudouridin,Pseudouridine,Pseudouridiini,Pseudouridine,Pseudouridin,Pseudouridina,Pseudourydyna,Pseudouridina,ПСЕВДОУРИДИН,Seudouridina,Pseudouridin,,,,
C0022060,ipronidazol,Ipronidazole,Ipronidatsoli,Ipronidazole,Ipronidazol,Ipronidazolo,Ipronidazol,Ipronidazol,ИПРОНИДАЗОЛ,Ipronidazol,Ipronidazol,,,,
C1009845,Myrtales,Myrtales,,Myrtales,Myrtales,Myrtales,Mirtowce,Myrtales,МИРТОЦВЕТНЫЕ,Myrtales,Myrtenordningen,,Myrtales,,
C0085367,Physarida,Physarida,Physarida,Physarida,Physarida,Physarida,Physarida,Physarida,PHYSARIDA,Physarida,Physarida,,Physarida,Physarida,
C0795633,NPH inzulin lidský,"Isophane Insulin, Human",,Insuline isophane humaine,"Isophan-Insulin, human",Insulina isofano umana,Insulina izofanowa ludzka,Insulina Isófana Humana,ИНСУЛИН-ИЗОФАН ЧЕЛОВЕКА,Insulina Isófana Humana,Humant isofaninsulin,,,,
C0033277,,,,,,,,,,,,,,Professional Activity Study,
C3658216,ústavní laboratorní služby,Clinical Laboratory Services,,Services de laboratoire d'analyses médicales,Klinische Labordienstleistungen,Servizi di analisi cliniche,Badania laboratoryjne,Serviços de Laboratório Clínico,КЛИНИЧЕСКИЕ ЛАБОРАТОРНЫЕ СЛУЖБЫ,Servicios de Laboratorio Clínico,Klinisk laboratorieservice,,Kliniske laboratorietjenester,,
C0006389,,,,,,,,,,,,,,Bunostomiasis,
C0996514,Marchantiophyta,Hepatophyta,Hepatophyta,Hepatophyta,Hepatophyta,Epatofiti,Hepatophyta,Hepatófitas,ПЕЧЕНОЧНИК,Hepatophyta,Levermossor,,Hepatophyta,Hepatophyta,
C0008412,nedostatek cholinu,Choline Deficiency,Koliininpuutos,Carence en choline,Cholinmangel,Carenza di colina,Niedobór choliny,Deficiência de Colina,ХОЛИНА НЕДОСТАТОЧНОСТЬ,Deficiencia de Colina,Kolinbrist,,Kolinmangel,"Tekort, choline-",
C0007125,Ehrlichův tumor,"Carcinoma, Ehrlich Tumor",Ehrlichin kasvain,Carcinome d'Ehrlich,"Karzinom, Ehrlich-Tumor-",Carcinoma di Ehrlich,Guz Ehrlicha,Carcinoma de Ehrlich,"КАРЦИНОМА, ЭРЛИХА ОПУХОЛЬ",Carcinoma de Ehrlich,Ehrlichtumör,"KARCINOM, EHRLICHOV TUMOR",Ehrlichs karsinom,"Tumor, Ehrlich-",
